s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-8.45817154467,-0.00537543015271,-0.0485409550098,-0.00217248630872,-5.80013142859e-06,-0.00534757920933,-0.000133029060701,-0.000124635438093,-0.000134768190483,-0.0296064242461,-0.0668591435346,-0.0296065774576,0.167034255349,0.00250596831597,0.000941247228803,-0.000708145638659,0.000941301759464,1.59615283673e-09,-3.929683782e-08
-8.4281774025,-0.00500153218529,-0.046903874178,-0.00228396178067,7.14292024395e-06,-0.00563497795061,-0.000126724040134,-0.000105286179378,-0.000129900023943,-0.0289993469743,-0.0655014403737,-0.0289992972705,0.165223097352,0.00299351086842,0.000941257160527,-0.000731086224708,0.000941547271933,-1.22134787176e-08,-8.67626369753e-08
-8.39818325786,-0.00480520280606,-0.0453544821641,-0.00238972180888,1.64802027227e-05,-0.0059364198442,-0.000125083461397,-9.16936024863e-05,-0.000120757672666,-0.0283493966666,-0.0640529545348,-0.0283495357742,0.163617883217,0.00344881681198,0.000938127002492,-0.000751237888145,0.000937736119889,6.72682907504e-09,1.15191731618e-07
-8.36818911091,-0.00476536454819,-0.043873968741,-0.00250507552612,2.34223651014e-05,-0.0062338056797,-0.000117584909534,-8.4908568128e-05,-0.000119020924372,-0.0276640887582,-0.0625272913197,-0.0276641385412,0.162159187679,0.00385376862421,0.000930781759308,-0.00076810183789,0.000930872990119,-7.28083054239e-10,-3.71215344268e-08
-8.33819496178,-0.00486244326607,-0.0424408333859,-0.00261411616719,2.83819082959e-05,-0.00654248482776,-0.000114365735884,-7.55758647385e-05,-0.000116147876716,-0.0269499198524,-0.0609402731425,-0.0269499014585,0.160791464114,0.00419512537319,0.000920560456234,-0.00078265714489,0.00092077148473,1.58380522752e-08,-8.40225540672e-08
-8.30820081056,-0.00506797387598,-0.0410403073506,-0.00272336615394,3.12915033963e-05,-0.00685432395916,-0.000116998255597,-6.50113844477e-05,-0.000116550015994,-0.0262133123475,-0.0593071043605,-0.0262134061372,0.159459121293,0.00446855207413,0.000907664337727,-0.000794319700003,0.000907589480806,1.02386883511e-08,8.10293310135e-09
-8.27820665734,-0.00535287429524,-0.0396570733854,-0.00282602184078,3.1731093143e-05,-0.00717302373273,-0.000113108355801,-6.3045454731e-05,-0.000112173307493,-0.0254622640418,-0.0576435754891,-0.0254621586734,0.158118759361,0.00467866786455,0.000891967569871,-0.000802426145263,0.000891907410982,-2.5310009928e-09,3.65549555293e-08
-8.24821250218,-0.00568156540782,-0.0382898285612,-0.00293739651516,2.95490376996e-05,-0.00749247286108,-0.000111023870649,-6.62256488024e-05,-0.000110306568786,-0.0247022177756,-0.0559638581444,-0.0247022896364,0.15673908859,0.00484147756745,0.000873724135591,-0.000806625380681,0.000873599061645,-1.38179983548e-08,4.47788939432e-08
-8.21821834512,-0.0060336849071,-0.0369427534227,-0.00304069755257,2.60430654026e-05,-0.00777948822191,-0.000106414873426,-7.30532651162e-05,-0.000107369989191,-0.0239490111533,-0.0542997466145,-0.0239489413667,0.155310291537,0.00499460682535,0.000850014582234,-0.000778833191285,0.000850122335115,1.90548304589e-11,-2.86574679203e-08
-8.18822418598,-0.00641357045102,-0.0355847647447,-0.00315847908035,2.19199638522e-05,-0.00814040900376,-0.000113464017059,-6.83507228451e-05,-0.000113449648356,-0.023174184798,-0.0526073264781,-0.0231741507168,0.153772794787,0.00500994004172,0.00083546713031,-0.00081134661491,0.000835474476404,3.45166884374e-10,9.43317113308e-10
