s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-8.63813633386,-0.286447707987,-0.818556569556,-0.000341446383475,0.000406329518678,-0.000291909389027,-0.000323536293264,-4.13772467241e-05,-0.000323537030904,0.0136872882389,0.0296869863425,0.013687288701,0.104705867303,-0.00183927731065,0.00105200940073,-0.00243618677547,0.00105200961437,-6.92207864476e-11,-6.37772135031e-11
-8.6081422112,-0.286779950063,-0.820350957659,-0.000348425753084,0.000407361052466,-0.000299416632366,-0.000326361951316,-4.29414621001e-05,-0.00032636490351,0.012741559381,0.0275431654899,0.0127415599927,0.110088723086,-0.00183870473677,0.00107987149112,-0.0024540966266,0.00107987175731,6.52879080243e-11,-3.95128738978e-10
-8.57814808462,-0.287067435859,-0.822072077241,-0.000355690180277,0.000408338967888,-0.000307093735196,-0.000329273872568,-4.44890243748e-05,-0.000329273194277,0.0118037963304,0.0254185780158,0.0118037956705,0.115364009739,-0.00182786837668,0.00110800715656,-0.00247270793965,0.00110800706593,-5.86575013244e-11,-7.99130239763e-10
-8.54815395441,-0.287315787676,-0.823725317757,-0.000363270027104,0.000409275715898,-0.000314950145796,-0.000332274356836,-4.60529119556e-05,-0.000332268595852,0.010875953587,0.0233174518665,0.0108759518144,0.120542291766,-0.00180439668778,0.00113636796955,-0.00249207535048,0.00113636709802,-1.07842650888e-10,5.24645756778e-10
-8.51815982085,-0.287531104385,-0.825315836103,-0.000371220441525,0.00041017234789,-0.000322999668606,-0.000335349595932,-4.76221221727e-05,-0.000335349850071,0.00995991084064,0.0212438659704,0.00995991096722,0.12563437127,-0.0017666455048,0.00116489477632,-0.00251222345506,0.00116489479221,-5.31432133459e-10,1.52949995643e-10
-8.48816568419,-0.287719749872,-0.826848334716,-0.000379558100778,0.00041104162099,-0.000331234961801,-0.000338497674821,-4.92089145417e-05,-0.000338496256824,0.00905748156519,0.0192017262913,0.00905748087876,0.130650591207,-0.00171377648547,0.00119352717005,-0.0025331667743,0.00119352703626,1.87550776571e-10,-3.2005591798e-10
-8.45817154467,-0.287887995218,-0.828326969299,-0.000388300113669,0.000411891885605,-0.000339679184872,-0.000341707197111,-5.08182352413e-05,-0.000341708792929,0.00817036438467,0.0171946922763,0.00817036366554,0.135600379809,-0.00164553825603,0.00122218728399,-0.00255488201342,0.00122218723537,1.50609299053e-11,3.084297847e-10
-8.4281774025,-0.288041759055,-0.829755340128,-0.00039745687056,0.000412734789624,-0.000348304321961,-0.000344963126246,-5.24622646642e-05,-0.000344966083923,0.00730011097503,0.0152261141028,0.00730011003745,0.140491995998,-0.00156210817638,0.00125079682817,-0.00257732824493,0.00125079719495,-2.02964546648e-10,-2.32845267313e-10
-8.39818325786,-0.288186542117,-0.831136431247,-0.000407023575317,0.000413581521635,-0.00035714085618,-0.000348263144032,-5.41452158797e-05,-0.000348259014881,0.00644810187183,0.0132989430846,0.0064481009471,0.145332322295,-0.00146417176159,0.00127926627437,-0.00260043459725,0.00127926590313,1.26879199965e-10,2.06276657963e-10
-8.36818911091,-0.288327360935,-0.832472580288,-0.000417001128343,0.000414445505042,-0.000366157443891,-0.00035158780846,-5.58723941676e-05,-0.000351589229745,0.0056155137939,0.0114157034351,0.00561551320818,0.150126629125,-0.00135298482845,0.00130750346924,-0.00262411434062,0.00130750355282,-1.93540194907e-11,-2.17347528787e-10
